Element Template: Building,,,,,,,,,
,Analysis Template,Analysis Type,Name,Function,Original Units,Target unit,Convert? (Yes/No),Conversion Factor,Comments
,Building Electrical Cost ,Rollup,Building Electrical Cost ,"Sum, Average",$US,¥,Yes,,
,Building Electrical Usage,Rollup,Building Electrical Usage,"Sum, Average",kWh,,No,,
,Building Gas Cost,Rollup,Building Gas Cost,"Sum, Average",$US,¥,Yes,,
,Building Gas Usage,Rollup,Building Gas Usage,"Sum, Average",Btu,kWh,Yes,0.000293071,
,Building Water Cost,Rollup,Building Water Cost,"Sum, Average",$US,¥,Yes,,
,Building Water Usage,Rollup,Building Water Usage,"Sum, Average",US gal,L,Yes,3.78541,
,Electrical Downtime,Rollup,Electrical Downtime,"Sum, Average",min,,No,,
,,,,,,,,,
Element Template: Electric User,,,,,,,,,
,Analysis Template,Analysis Type,Name,Expression Units,Output Units,Target unit,Convert? (Y/N),Conversion Factor,Comments
,Electric Downtime,Event Frame Generation,Trigger,None,None,,No,,
,Electric Usage,Expression,RunTime,[s]/3600,h,,No,,Description units are incorrect
,Electric Usage,Expression,KillowattHours,([V]*[A]/1000)*[h],kWh,,No,,
,Electric Usage,Expression,ElectricalUsage,TagTot [kWh],kWh,,No,,
,Electric Usage,Expression,MaxKilowattHours,TagMax [kWh],kWh,,No,,
,Electric Usage,Expression,AvgKilowattHours,TagAvg [kWh],kWh,,No,,
,Electric Usage,Expression,DowntimeDuration,[s]/60,min,,No,,Description units are incorrect
,Electrical Cost,Expression,ElectricalCost,[kWh]*[$US/kWh],$US,¥,Yes,,
,High Amperage,Event Frame Generation,Trigger,A,None,,No,,
,OSIDemo_Random Data,Expression,State,None,None,,No,,
,OSIDemo_Random Data,Expression,Amps,A,A,,No,,
,OSIDemo_Random Data,Expression,FaultCode,None,None,,No,,
,,,,,,,,,
Element Template: Gas User,,,,,,,,,
,Analysis Template,Analysis Type,Name,Expression Units,Output Units,Target unit,Convert? (Y/N),Conversion Factor,Comments
,Gas Consumption,Expression,GasFlowTime,[s],s,,No,,
,Gas Consumption,Expression,GasConsumed,[ft3/s]*[s]*None*[Btu/ft3],Btu,kWh,Yes,0.000293071,
,Gas Consumption,Expression,GasUsage,TagTot [Btu],Btu,kWh,Yes,0.000293071,
,Gas Consumption,Expression,MaxGasFlow,TagMax [Btu],ft3/s,m3/s,Yes,0.0283168,
,Gas Consumption,Expression,AvgGasFlow,TagAvg [Btu],ft3/s,m3/s,Yes,0.0283168,
,Gas Cost,Expression,GasCost,[Btu]*[$US/Btu],$US,¥,Yes,,
,Gas Downtime,Event Frame Generation,Trigger ,None,None,,No,,
,OSIDemo_Random Data,Expression,State,None,None,,No,,
,OSIDemo_Random Data,Expression,GasFlow,ft3/s,ft3/s,m3/s,Yes,0.0283168,
,OSIDemo_Random Data,Expression,FaultCode,None,None,,No,,
,,,,,,,,,
Element Template: Plant,,,,,,,,,
,Analysis Template,Analysis Type,Name,Function,Output Units,Target unit,Convert? (Y/N),Conversion Factor,Comments
,Electric Cost,Rollup,Electrical Cost,Sum,$US,¥,Yes,,
,Electrical Downtime,Rollup,Electrical Downtime,Sum,min,,No,,
,Electrical Usage,Rollup,Electrical Usage,Sum,kWh,,No,,
,Gas Cost,Rollup,Gas Cost,Sum,$US,¥,Yes,,
,Gas Usage,Rollup,Gas Usage,Sum,Btu,kWh,Yes,0.000293071,
,Water Cost,Rollup,Water Cost,Sum,$US,¥,Yes,,
,Water Usage,Rollup,Water Usage,Sum,US gal,L,Yes,3.78541,
,,,,,,,,,
Element Template: Water User,,,,,,,,,
,Analysis Template,Analysis Type,Name,Expression Units,Output Units,Target unit,Convert? (Y/N),Conversion Factor,Comments
,OSIDemo_Random,Expression,State,None,None,,No,,
,OSIDemo_Random,Expression,WaterFlowRate,US gal/min,US gal/min,L/min,Yes,3.78541,
,OSIDemo_Random,Expression,FaultCode,None,None,,No,,
,Water Cost,Expression,WaterCost,[US gal]*[$US/US gal],$US,¥,Yes,,
,Water Downtime,Event Frame Generation,Trigger,None,None,,No,,
,Water Usage,Expression,WaterFlowTime,[s]/60,min,,No,,
,Water Usage,Expression,Gallons,[US gal/min]*[min]*None,US gal,L,Yes,3.78541,
,Water Usage,Expression,WaterUsage,Tagtot [US gal/min],US gal,L,Yes,3.78541,
,Water Usage,Expression,MaxWaterFlow,TagMax [US gal/min],US gal/min,L/min,Yes,3.78541,Description units are incorrect
,Water Usage,Expression,AvgWaterFlow,TagAvg [US gal/min],US gal/min,L/min,Yes,3.78541,Description units are incorrect
