Element Template: Building,,,,,,,
,Attribute,Data Reference,Original Units,Target unit,Convert? (Yes/No),Conversion Factor,Comments
Cost,,,,,,,
,Average Electric Cost,PI Point,$US,¥,Yes,,
,Average Gas Cost,PI Point,$US,¥,Yes,,
,Average Water Cost,PI Point,$US,¥,Yes,,
,Electrical Cost,PI Point,$US,¥,Yes,,
,Gas Cost,PI Point,$US,¥,Yes,,
,Water Cost,PI Point,$US,¥,Yes,,
Downtime,,,,,,,
,Electrical Downtime,PI Point,min,,No,,
Location,,,,,,,
,Asset Location,String Builder,None,,No,,
Usage,,,,,,,
,Average Electric Usage,PI Point,kWh,,No,,
,Average Gas Usage,PI Point,Btu,,Yes,1.05506,
,Average Water Usage,PI Point,US gal,L,Yes,3.78541,
,Electrical Usage,PI Point,kWh,,No,,
,Gas Usage,PI Point,Btu,kWh,Yes,0.000293071,
,Water Usage,PI Point,US gal,L,Yes,3.78541,
Utilities Price,,,,,,,
,BTU Factor,None,1.028,,Required for calculation,,
,Electric Rate,None,0.18 $/kWh,,Region specific,,
,Gas Rate,None,0.399 $/BTU,,Region specific,,
,Water Rate,None,0.012$/US Gal,,Region specific,,
,,,,,,,
Element Template: Electric User,,,,,,,
,Attribute,Data Reference,Original Units,Target unit,Convert? (Y/N),Conversion Factor,Comments
Availability,,,,,,,
,State,PI Point,None,,No,,
Cost,,,,,,,
,Electrical Cost,PI Point,$US,¥,Yes,,
Downtime,,,,,,,
,Downtime Duration,PI Point,min,,No,,
,Fault Code,PI Point,None,,No,,
Usage,,,,,,,
,Amps,PI Point,A,,No,,
,AvgKilowattHours,PI Point,kWh,,No,,
,Electrical Usage,PI Point,kWh,,No,,
,KilowattHours,PI Point,kWh,,No,,
,MaxKilowattHours,PI Point,kWh,,No,,
,RunTime,PI Point,h,,No,,
,Voltage,Table Lookup,V,,No,,
,,,,,,,
Element Template: Gas User,,,,,,,
,Attribute,Data Reference,Original Units,Target unit,Convert? (Y/N),Conversion Factor,Comments
Availability,,,,,,,
,State,PI Point,None,,No,,
Cost,,,,,,,
,Gas Cost,PI Point,$US,¥,Yes,,
Downtime,,,,,,,
,Fault Code,PI Point,None,,No,,
Usage,,,,,,,
,Avg Gas Flow,PI Point,ft3/s,m3/s,Yes,0.0283168,
,Gas Consumed,PI Point,Btu,kWh,Yes,0.000293071,
,Gas Flow,PI Point,ft3/s,m3/s,Yes,0.0283168,
,Gas Flow time,PI Point,s,,No,,
,Max Gas Flow,PI Point,ft3/s,m3/s,Yes,0.0283168,
,Pressure Factor,Table Lookup,None,,No,,
,Total Gas Consumed,PI Point,Btu,kWh,Yes,0.000293071,
,,,,,,,
Element Template: Generic Equipment,,,,,,,
Location,,,,,,,
,Asset Location,String Builder,None,,No,,
Specification,,,,,,,
,Equipment Type,String,None,,No,,
,Installation Date,Table Lookup,None,,No,,
,Manufacturer,Table Lookup,None,,No,,
,Product,Table Lookup,None,,No,,
,Serial Number,String Builder,None,,No,,
,,,,,,,
Element Template: Plant,,,,,,,
,Attribute,Data Reference,Original Units,Target unit,Convert? (Y/N),Conversion Factor,Comments
Cost,,,,,,,
,Electrical Cost,PI Point,$US,¥,Yes,,
,Gas Cost,PI Point,$US,¥,Yes,,
,Water Cost,PI Point,$US,¥,Yes,,
Downtime,,,,,,,
,Electrical Downtime,PI Point,min,,No,,
Location,,,,,,,
,Asset Location,String Builder,None,,No,,
,Latitude,Table Lookup,None,,No,,
,Longititude,Table Lookup,None,,No,,
,Physical  Location,Table Lookup,None,,No,,
Usage,,,,,,,
,Electrical Usage,PI Point,kWh,,No,,
,Gas Usage,PI Point,Btu,kWh,Yes,0.000293071,
,Water Usage,PI Point,US gal,L,Yes,3.78541,
,,,,,,,
Element Template: Water User,,,,,,,
,Attribute,Data Reference,Original Units,Target unit,Convert? (Y/N),Conversion Factor,Comments
Availability,,,,,,,
,State,PI Point,None,,No,,
Cost,,,,,,,
,Water Cost,PI Point,$US,¥,Yes,,
Downtime,,,,,,,
,Fault Code,PI Point,None,,No,,
Specification,,,,,,,
,Flow Rate Factor,Table Lookup,None,,No,,
Usage,,,,,,,
,Avg Water Flow,PI Point,US gal/min,L/min,Yes,3.78541,
,Flowrate Maximum,Table Lookup,US gal/min,L/min,Yes,3.78541,
,Gallons,PI Point,US gal,L,Yes,3.78541,
,Max Water Flow,PI Point,US gal/min,L/min,Yes,3.78541,
,Water Flow Rate,PI Point,US gal/min,L/min,Yes,3.78541,
,Water Flow Time,PI Point,min,,No,,
,Water Usage,PI Point,US gal,L,Yes,3.78541,
